SaleID,price
1,39002.34727
2,384.5137979
3,7818.898247
4,11812.59946
5,566.853274
6,1720.658995
7,4574.473263
8,10015.98285
9,3450.749689
10,2154.999729
11,4569.605688
12,6108.759541
13,2458.118631
14,12059.05331
15,11889.37182
16,294.8997765
17,630.1366026
18,6321.617419
19,9695.628202
20,1367.8849
21,4829.310999
22,13335.37457
23,1438.672149
24,14859.42477
25,1700.570216
26,6222.3808
27,1552.421603
28,3677.716959
29,21918.27425
30,17419.64192
31,1503.75716
32,283.1689124
33,4048.354008
34,2843.370301
35,3156.483252
36,6843.417889
37,1047.326687
38,3929.585564
39,25200.12098
40,1594.815213
41,13445.73816
42,3953.275816
43,16175.47485
44,25718.14605
45,7914.457157
46,2137.579384
47,2887.362976
48,46773.72814
49,1100.677187
50,33532.20466
51,5043.827459
52,10042.41553
53,1076.502937
54,646.4823136
55,14364.5484
56,3979.082409
57,882.4620704
58,2423.185744
59,1098.885706
60,2391.836293
61,9255.379941
62,3133.402609
63,1330.531969
64,11633.53479
65,20963.33024
66,9477.669198
67,12773.40045
68,3305.395067
69,1250.549031
70,3020.221561
71,1809.494323
72,571.2303313
73,998.0348328
74,22767.83351
75,317.0436021
76,1076.532521
77,2497.526201
78,7479.096668
79,2623.047211
80,4575.531833
81,2566.637563
82,9062.407593
83,15109.7023
84,519.3849163
85,3955.743474
86,3481.916335
87,36351.68461
88,347.8813896
89,2948.457279
90,3293.075678
91,1054.676927
92,7046.702139
93,5762.459729
94,794.060208
95,10937.2472
96,154.7434364
97,13155.13287
98,8483.941707
99,440.5199366
100,380.6290318
101,525.108014
102,4244.298337
103,1723.455629
104,2765.291614
105,4258.806154
106,927.1872519
107,2119.552753
108,613.8431994
109,7527.461972
110,2210.375423
111,3618.490489
112,11708.05925
113,10589.50376
114,1669.900031
115,1288.646019
116,2667.620823
117,6762.511684
118,2769.203962
119,20668.2955
120,10098.34904
121,14956.70397
122,1477.283144
123,7785.140222
124,101.7175043
125,14639.82092
126,3981.297679
127,2152.148564
128,15900.79736
129,32839.70815
130,3209.888155
131,3250.93469
132,844.7045507
133,4138.149506
134,6234.184355
135,15827.07875
136,1309.332805
137,1514.055381
138,3059.151953
139,6852.796608
140,993.1662084
141,1400.797102
142,1979.951204
143,9784.946905
144,5827.990606
145,954.3631529
146,1933.669645
147,6866.781424
148,1218.724238
149,2280.200619
150,791.7649223
151,3597.591
152,7377.506331
153,608.2330086
154,826.8928656
155,19144.10057
156,2941.513599
157,374.4370527
158,5224.937703
159,1213.330161
160,10041.88619
161,47232.03345
162,849.7220452
163,807.6258427
164,702.8686404
165,4957.488622
166,3476.228565
167,6768.182986
168,2579.410143
169,4790.560584
170,2168.735012
171,3174.557535
172,4454.648451
173,1778.094916
174,6180.958863
175,2482.238961
176,612.1776293
177,22804.36289
178,220.1364913
179,1890.437694
180,3331.190499
181,947.4711283
182,1528.65277
183,6333.934045
184,1013.307597
185,664.0724964
186,8792.534464
187,2864.635208
188,15737.68368
189,2739.899528
190,5006.719742
191,5407.005866
192,130.6228205
193,1849.43194
194,4038.216976
195,15572.02917
196,778.6578344
197,18150.09881
198,3107.268438
199,4276.304678
200,2254.679919
201,2264.803089
202,9869.127095
203,2190.043798
204,439.9547703
205,3808.089524
206,1001.586344
207,13146.21962
208,1519.615228
209,1308.439951
210,2288.080912
211,6083.140757
212,10269.21311
213,10180.888
214,1127.608511
215,4312.935553
216,131.4340161
217,24473.59578
218,2771.932189
219,11006.52822
220,11360.62116
221,2022.723047
222,8763.854084
223,947.0727329
224,4845.34592
225,655.1821438
226,804.8285591
227,5710.911848
228,675.2918293
229,865.1632673
230,729.1559145
231,5913.861384
232,723.3820566
233,9507.674872
234,1747.394541
235,810.7448583
236,3041.801122
237,688.8479928
238,1386.05782
239,578.9208502
240,1240.836493
241,7847.761724
242,1868.124533
243,7748.981093
